PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2019,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2020,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2021,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2022,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2023,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2024,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2025,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2026,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2027,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2028,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2029,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2030,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2031,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2032,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2033,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2034,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2035,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2036,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2037,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2038,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2039,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2040,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2041,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2042,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2043,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2044,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2045,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2046,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2047,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2048,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2049,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCOA,,,,2050,,,,,,1.0939
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2018,,,,,,0.4019
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2019,,,,,,0.4
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2020,,,,,,0.133
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2021,,,,,,0.133
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2022,,,,,,0.133
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2023,,,,,,0.133
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2024,,,,,,0.973
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2025,,,,,,1.373
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2026,,,,,,1.373
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2027,,,,,,1.373
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2028,,,,,,1.373
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2029,,,,,,1.373
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2030,,,,,,1.373
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2031,,,,,,1.373
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2032,,,,,,1.773
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2033,,,,,,1.773
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2034,,,,,,1.773
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2035,,,,,,1.773
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2036,,,,,,1.773
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2037,,,,,,1.773
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2038,,,,,,1.773
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2039,,,,,,1.773
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2040,,,,,,1.773
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2041,,,,,,1.773
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2042,,,,,,1.773
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2043,,,,,,1.773
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2044,,,,,,1.773
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2045,,,,,,1.773
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2046,,,,,,1.773
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2047,,,,,,1.773
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2048,,,,,,1.773
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2049,,,,,,1.773
TotalAnnualMaxCapacity,LTS,RD,PPCCTDSL,,,,2050,,,,,,1.773
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2018,,,,,,0.185
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2019,,,,,,0.185
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2020,,,,,,0.185
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2021,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2022,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2023,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2024,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2025,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2026,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2027,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2028,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2029,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2030,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2031,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2032,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2033,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2034,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2035,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2036,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2037,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2038,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2039,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2040,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2041,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2042,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2043,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2044,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2045,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2046,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2047,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2048,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2049,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCFOIDSL,,,,2050,,,,,,0.0
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2018,,,,,,0.8183
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2019,,,,,,0.6782
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2020,,,,,,0.6782
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2021,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2022,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2023,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2024,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2025,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2026,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2027,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2028,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2029,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2030,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2031,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2032,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2033,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2034,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2035,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2036,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2037,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2038,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2039,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2040,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2041,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2042,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2043,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2044,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2045,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2046,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2047,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2048,,,,,,0.8282
TotalAnnualMaxCapacity,LTS,RD,PPCCTNGS,,,,2049,,,,,,0.8282
