PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OutputActivityRatio,NDCCON,ECU,SUPCAMPASMOR,E5CAMPASMOR,,1,2018,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMPASMOR,E5CAMPASMOR,,1,2019,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMPASMOR,E5CAMPASMOR,,1,2020,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMPASMOR,E5CAMPASMOR,,1,2021,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMPASMOR,E5CAMPASMOR,,1,2022,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMPASMOR,E5CAMPASMOR,,1,2023,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMPASMOR,E5CAMPASMOR,,1,2024,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMPASMOR,E5CAMPASMOR,,1,2025,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMPASMOR,E5CAMPASMOR,,1,2026,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMPASMOR,E5CAMPASMOR,,1,2027,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMPASMOR,E5CAMPASMOR,,1,2028,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMPASMOR,E5CAMPASMOR,,1,2029,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMPASMOR,E5CAMPASMOR,,1,2030,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMPASMOR,E5CAMPASMOR,,1,2031,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMPASMOR,E5CAMPASMOR,,1,2032,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMPASMOR,E5CAMPASMOR,,1,2033,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMPASMOR,E5CAMPASMOR,,1,2034,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMPASMOR,E5CAMPASMOR,,1,2035,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2010,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2011,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2012,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2013,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2014,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2015,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2016,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2017,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2018,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2019,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2020,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2021,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2022,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2023,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2024,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2025,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2026,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2027,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2028,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2029,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2030,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2031,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2032,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2033,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2034,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMGRAMOR,E5CAMGRAMOR,,1,2035,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2010,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2011,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2012,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2013,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2014,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2015,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2016,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2017,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2018,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2019,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2020,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2021,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2022,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2023,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2024,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2025,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2026,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2027,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2028,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2029,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2030,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2031,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2032,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2033,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2034,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMHUMMOR,E5CAMHUMMOR,,1,2035,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2010,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2011,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2012,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2013,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2014,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2015,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2016,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2017,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2018,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2019,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2020,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2021,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2022,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2023,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2024,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2025,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2026,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2027,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2028,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2029,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2030,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2031,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2032,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2033,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2034,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMASEMOR,E5CAMASEMOR,,1,2035,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2010,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2011,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2012,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2013,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2014,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2015,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2016,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2017,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2018,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2019,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2020,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2021,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2022,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2023,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2024,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2025,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2026,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2027,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2028,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2029,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2030,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2031,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2032,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2033,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2034,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,SUPCAMOTIMOR,E5CAMOTIMOR,,1,2035,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2010,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2011,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2012,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2013,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2014,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2015,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2016,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2017,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2018,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2019,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2020,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2021,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2022,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2023,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2024,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2025,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2026,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2027,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2028,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2029,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2030,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2031,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2032,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2033,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2034,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_FOR,E2_FOR,,1,2035,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2010,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2011,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2012,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2013,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2014,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2015,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2016,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2017,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2018,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2019,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2020,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2021,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2022,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2023,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2024,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2025,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2026,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2027,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2028,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2029,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2030,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2031,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2032,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2033,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2034,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_WET,E2_WET,,1,2035,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2010,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2011,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2012,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2013,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2014,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2015,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2016,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2017,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2018,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2019,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2020,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2021,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2022,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2023,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2024,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2025,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2026,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2027,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2028,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2029,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2030,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2031,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2032,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2033,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2034,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_CROP,E2_CRO,,1,2035,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2010,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2011,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2012,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2013,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2014,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2015,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2016,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2017,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2018,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2019,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2020,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2021,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2022,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2023,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2024,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2025,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2026,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2027,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2028,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2029,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2030,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2031,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2032,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2033,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2034,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_PAS,E2_PAS,,1,2035,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2010,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2011,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2012,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2013,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2014,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2015,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2016,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2017,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2018,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2019,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2020,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2021,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2022,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2023,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2024,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2025,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2026,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2027,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2028,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2029,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2030,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2031,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2032,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2033,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2034,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_SET,E2_SET,,1,2035,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_OTL,E2_OTL,,1,2010,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_OTL,E2_OTL,,1,2011,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_OTL,E2_OTL,,1,2012,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_OTL,E2_OTL,,1,2013,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_OTL,E2_OTL,,1,2014,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_OTL,E2_OTL,,1,2015,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_OTL,E2_OTL,,1,2016,,,,,,1.0
OutputActivityRatio,NDCCON,ECU,LU_OTL,E2_OTL,,1,2017,,,,,,1.0
